file,proof_duration_sec,max_memory,user_cycles
jolt_fibonacci_n10.log,0.517809083,4.1172332763671875,701
jolt_fibonacci_n100.log,0.657455834,4.091156005859375,6247
jolt_fibonacci_n1000.log,1.416295166,4.0616302490234375,61162
jolt_fibonacci_n10000.log,12.901877333,23.1317138671875,610162
jolt_fibonacci_n100000.log,176.122286417,44.54298400878906,6100177
jolt_fibonacci_n110000.log,191.592975625,45.76652526855469,6710177
jolt_fibonacci_n120000.log,189.592618375,48.27149963378906,7320177
jolt_fibonacci_n130000.log,188.518468292,48.33930969238281,7930177
jolt_fibonacci_n140000.log,552.476981208,50.09538269042969,8540177
